City,State,Population,Rate,Violent Crime,Murder and Non Negligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny and Theft,Motor Vehicle Theft,Actual Violent Crime,Actual Murder and Non Negligent Manslaughter,Actual Rape,Actual Robbery,Actual Aggravated Assault,Actual Property Crime,Actual Burglary,Actual Larceny and Theft,Actual Motor Vehicle Theft,Percentage Violent Crime,Percentage Murder and Non Negligent Manslaughter,Percentage Rape,Percentage Robbery,Percentage Aggravated Assault,Percentage Property Crime,Percentage Burglary,Percentage Larceny and Theft,Percentage Motor Vehicle Theft
Coeur d'Alene,ID,153701,"Rate per 100,000 inhabitants",231.6,4.6,48.1,17.6,161.4,2321.4,471.0,1718.3,132.1,355.971516,7.070246,73.930181,27.051376,248.073414,3568.0150140000005,723.93171,2641.0442829999997,203.039021,0.2316,0.0046,0.048100000000000004,0.0176,0.1614,2.3214,0.471,1.7182999999999997,0.1321
College Station-Bryan,TX,252572,"Rate per 100,000 inhabitants",331.4,2.0,59.4,64.5,205.5,2376.4,440.7,1814.5,121.2,837.023608,5.05144,150.02776799999998,162.90894,519.03546,6002.121008000001,1113.0848039999998,4582.91894,306.11726400000003,0.3314,0.002,0.059399999999999994,0.0645,0.2055,2.3764000000000003,0.4406999999999999,1.8144999999999998,0.12120000000000002
Colorado Springs,CO,707431,"Rate per 100,000 inhabitants",404.6,4.5,81.3,68.3,250.5,2848.3,459.4,2040.5,348.4,2862.2658260000003,31.834395,575.141403,483.175373,1772.114655,20149.757173,3249.938014,14435.129555,2464.6896039999997,0.4046,0.0045000000000000005,0.0813,0.0683,0.25050000000000006,2.8483,0.4594,2.0404999999999998,0.3484
Columbia,MO,177168,"Rate per 100,000 inhabitants",380.4,3.4,74.5,77.9,224.6,2387.6,391.2,1815.8,180.6,673.947072,6.023712,131.99016,138.01387200000002,397.91932799999995,4230.063168,693.0812159999999,3217.0165439999996,319.965408,0.3804,0.0034,0.0745,0.07790000000000001,0.22459999999999997,2.3876,0.3912,1.8157999999999996,0.1806
Columbia,SC,820037,"Rate per 100,000 inhabitants",589.5,7.1,48.7,103.5,430.2,3525.1,611.3,2516.1,397.7,4834.118115,58.222626999999996,399.35801900000007,848.738295,3527.7991739999998,28907.124287,5012.886181,20632.950956999997,3261.2871489999998,0.5895,0.007099999999999999,0.04870000000000001,0.1035,0.4301999999999999,3.5250999999999997,0.6113,2.5161,0.39769999999999994
Columbus,GA,316990,"Rate per 100,000 inhabitants",518.3,10.4,38.8,189.9,279.2,3810.8,928.7,2527.2,354.9,1642.95917,32.96696,122.99212,601.96401,885.03608,12079.85492,2943.88613,8010.97128,1124.99751,0.5183,0.010400000000000001,0.0388,0.1899,0.2792,3.8107999999999995,0.9287,2.5272,0.35489999999999994
Columbus,IN,81884,"Rate per 100,000 inhabitants",81.8,0.0,25.6,24.4,31.8,3066.5,398.1,2454.7,213.7,66.981112,0.0,20.962304000000003,19.979695999999997,26.039112000000003,2510.97286,325.980204,2010.0065479999998,174.986108,0.0818,0.0,0.025600000000000005,0.024399999999999998,0.0318,3.0664999999999996,0.3981,2.4547,0.2137
Columbus,OH,2043036,"Rate per 100,000 inhabitants",284.9,5.2,59.7,125.1,94.9,2911.2,594.4,2100.6,216.1,5820.609563999999,106.23787200000001,1219.6924920000001,2555.838036,1938.8411640000002,59476.864032,12143.805983999999,42916.014215999996,4415.000795999999,0.28489999999999993,0.005200000000000001,0.05970000000000001,0.1251,0.09490000000000001,2.9112,0.5943999999999999,2.1005999999999996,0.21609999999999996
Corpus Christi,TX,456121,"Rate per 100,000 inhabitants",659.3,7.7,68.0,101.7,481.9,3567.7,723.9,2656.3,187.5,3007.2057529999997,35.121317000000005,310.16228,463.875057,2198.047099,16273.028916999998,3301.8599189999995,12115.942123000003,855.226875,0.6592999999999999,0.007700000000000001,0.068,0.10170000000000001,0.48189999999999994,3.5676999999999994,0.7238999999999999,2.6563000000000008,0.1875
Corvallis,OR,88515,"Rate per 100,000 inhabitants",127.7,1.1,39.5,15.8,71.2,2548.7,324.2,2111.5,113.0,113.033655,0.9736650000000001,34.963425,13.98537,63.02268,2255.981805,286.96563,1868.994225,100.02195,0.12769999999999998,0.0011,0.0395,0.015799999999999998,0.0712,2.5486999999999997,0.3242,2.1115,0.11300000000000002
Crestview-Fort Walton Beach-Destin,FL,268298,"Rate per 100,000 inhabitants",382.4,5.2,47.0,36.2,294.1,2358.6,442.8,1780.9,134.9,1025.971552,13.951496,126.10006,97.12387600000001,789.0644180000002,6328.076628,1188.0235440000001,4778.119082,361.934002,0.38239999999999996,0.005200000000000001,0.047,0.0362,0.29410000000000003,2.3586,0.4428,1.7809000000000001,0.13490000000000002
Cumberland,MD,98752,"Rate per 100,000 inhabitants",318.0,6.1,25.3,72.9,213.7,2545.8,493.2,1986.8,65.8,314.03136,6.023872,24.984256000000002,71.99020800000001,211.03302399999998,2514.028416,487.04486399999996,1962.0047359999999,64.978816,0.318,0.0060999999999999995,0.025300000000000003,0.0729,0.2137,2.5458000000000003,0.49319999999999997,1.9868000000000001,0.0658
Dallas-Fort Worth-Arlington,TX,7219989,"Rate per 100,000 inhabitants",359.7,5.1,43.8,124.2,186.6,2476.2,481.2,1730.9,264.1,25970.300432999997,368.21943899999997,3162.355182,8967.226338,13472.499473999998,178781.367618,34742.587068,124970.789601,19067.990949000003,0.35969999999999996,0.0050999999999999995,0.0438,0.1242,0.1866,2.4762,0.4812,1.7308999999999999,0.26410000000000006
Dallas-Plano-Irving,TX,4791249,"Rate per 100,000 inhabitants",356.7,5.2,40.2,141.3,170.0,2420.1,488.1,1640.0,292.0,17090.385183,249.144948,1926.082098,6770.034837,8145.1233,115953.017049,23386.086369,78576.4836,13990.44708,0.35669999999999996,0.0052,0.0402,0.1413,0.17,2.4201,0.4881,1.6400000000000001,0.292
Dalton,GA,143925,"Rate per 100,000 inhabitants",688.6,0.0,109.8,47.2,531.5,3408.0,821.3,2219.9,366.9,991.06755,0.0,158.02965,67.9326,764.961375,4904.964,1182.056025,3194.991075,528.060825,0.6886,0.0,0.10980000000000001,0.0472,0.5315,3.408,0.8213,2.2199,0.3669
Danville,IL,78439,"Rate per 100,000 inhabitants",808.3,0.0,94.3,126.2,587.7,3494.4,1167.8,2203.0,123.7,634.022437,0.0,73.967977,98.990018,460.98600300000004,2740.972416,916.0106420000001,1728.01117,97.029043,0.8083,0.0,0.09430000000000001,0.1262,0.5877,3.4944,1.1678000000000002,2.2030000000000003,0.1237
Davenport-Moline-Rock Island,IA,383016,"Rate per 100,000 inhabitants",393.2,3.1,48.6,62.7,278.8,,,2019.0,158.5,1506.0189119999998,11.873496000000001,186.145776,240.151032,1067.848608,,,7733.09304,607.08036,0.3932,0.0031000000000000003,0.048600000000000004,0.06269999999999999,0.2788,,,2.019,0.1585
Dayton,OH,800013,"Rate per 100,000 inhabitants",311.4,7.9,56.4,107.5,139.6,2929.2,672.4,2045.8,211.0,2491.2404819999997,63.201027,451.20733199999995,860.013975,1116.818148,23433.980796,5379.287412,16366.665953999998,1688.02743,0.31139999999999995,0.0079,0.05639999999999999,0.1075,0.1396,2.9292,0.6724,2.0458,0.21100000000000002
Decatur,AL,152077,"Rate per 100,000 inhabitants",231.5,3.3,19.1,35.5,173.6,2530.3,602.3,1766.2,161.8,352.058255,5.018541,29.046707,53.987335,264.005672,3848.004331,915.9597709999999,2685.983974,246.060586,0.23149999999999998,0.0033000000000000004,0.019100000000000002,0.035500000000000004,0.1736,2.5303,0.6023,1.7662,0.1618
Decatur,IL,106100,"Rate per 100,000 inhabitants",410.9,2.8,49.0,98.0,261.1,2802.1,875.6,1831.3,95.2,435.9649,2.9708,51.989,103.978,277.0271,2973.0281,929.0116,1943.0093,101.0072,0.4109,0.0028,0.049,0.098,0.2611,2.8021000000000003,0.8755999999999999,1.8313,0.09519999999999999
Deltona-Daytona Beach-Ormond Beach,FL,631296,"Rate per 100,000 inhabitants",391.4,3.0,26.6,58.5,303.3,2860.5,491.4,2162.2,206.9,2470.892544,18.93888,167.92473600000002,369.30816,1914.7207680000001,18058.22208,3102.1885439999996,13649.882111999998,1306.1514240000001,0.39139999999999997,0.003,0.026600000000000002,0.0585,0.3033,2.8605,0.4913999999999999,2.1621999999999995,0.2069
Denver-Aurora-Lakewood,CO,2868232,"Rate per 100,000 inhabitants",389.0,4.3,67.0,86.2,231.5,2954.0,435.8,2055.3,462.9,11157.42248,123.33397599999999,1921.71544,2472.415984,6639.95708,84727.57328,12499.755056000002,58950.772296,13277.045928,0.38899999999999996,0.004299999999999999,0.067,0.0862,0.2315,2.954,0.4358000000000001,2.0553000000000003,0.4628999999999999
Des Moines-West Des Moines,IA,632763,"Rate per 100,000 inhabitants",371.7,4.0,42.2,61.0,264.6,,546.5,,227.9,2351.980071,25.31052,267.025986,385.98543,1674.2908980000002,,3458.049795,,1442.0668770000002,0.3717,0.004,0.042199999999999994,0.061,0.26460000000000006,,0.5465,,0.22790000000000002
Detroit-Dearborn-Livonia,MI,1747582,"Rate per 100,000 inhabitants",1034.2,19.4,63.2,220.9,730.7,3132.6,735.0,1725.4,672.1,18073.493044000003,339.03090799999995,1104.471824,3860.4086380000003,12769.581674000001,54744.753732,12844.7277,30152.779828000002,11745.498622000001,1.0342000000000002,0.019399999999999997,0.06319999999999999,0.2209,0.7307,3.1326,0.735,1.7254000000000003,0.6721
Detroit-Warren-Dearborn,MI,4302722,"Rate per 100,000 inhabitants",555.6,9.0,49.8,108.2,388.6,2085.1,439.0,1303.4,342.6,23905.923432000003,387.24498,2142.755556,4655.545204,16720.377692000002,89716.056422,18888.94958,56081.678548,14741.125572,0.5556000000000001,0.009000000000000001,0.049800000000000004,0.1082,0.38860000000000006,2.0850999999999997,0.439,1.3034000000000001,0.3426
Dothan,AL,148284,"Rate per 100,000 inhabitants",,6.7,49.9,64.7,,2864.8,726.3,1948.3,190.2,,9.935028,73.99371599999999,95.93974800000001,,4248.040032000001,1076.986692,2889.017172,282.036168,,0.0067,0.0499,0.06470000000000001,,2.8648000000000007,0.7263,1.9483000000000001,0.19019999999999998
Dover,DE,175090,"Rate per 100,000 inhabitants",473.5,3.4,36.6,89.1,344.4,2512.4,372.4,2044.1,96.0,829.05115,5.95306,64.08294,156.00518999999997,603.00996,4398.96116,652.0351599999999,3579.01469,168.0864,0.4735,0.0034,0.036599999999999994,0.08909999999999998,0.3444,2.5124,0.37239999999999995,2.0441000000000003,0.096
Dubuque,IA,97625,"Rate per 100,000 inhabitants",242.8,2.0,59.4,28.7,152.6,2104.0,496.8,1512.9,94.2,237.0335,1.9525,57.98925,28.018375,148.97575,2054.03,485.001,1476.968625,91.96275,0.24280000000000002,0.002,0.0594,0.0287,0.1526,2.104,0.4967999999999999,1.5129,0.0942
Duluth,MN,279220,"Rate per 100,000 inhabitants",229.9,1.1,45.1,32.9,150.8,3192.8,492.1,2551.4,149.3,641.92678,3.07142,125.92822,91.86338,421.06376,8914.93616,1374.04162,7124.01908,416.87546,0.2299,0.0011,0.0451,0.032900000000000006,0.1508,3.1927999999999996,0.4921,2.5513999999999997,0.1493
Dutchess County-Putnam County,NY,391642,"Rate per 100,000 inhabitants",155.0,1.0,30.9,30.9,92.2,1054.5,145.8,882.7,26.0,607.0451,3.91642,121.017378,121.017378,361.09392399999996,4129.86489,571.014036,3457.0239340000003,101.82692,0.15500000000000003,0.001,0.030899999999999997,0.030899999999999997,0.09219999999999999,1.0545,0.1458,0.8827000000000002,0.026
East Stroudsburg,PA,165226,"Rate per 100,000 inhabitants",251.8,6.1,44.2,48.4,153.1,1894.4,382.5,1454.4,57.5,416.03906800000004,10.078786,73.029892,79.96938399999999,252.96100599999997,3130.041344,631.98945,2403.046944,95.00495,0.2518,0.0060999999999999995,0.0442,0.04839999999999999,0.15309999999999999,1.8944000000000003,0.3825,1.4544000000000001,0.057499999999999996
Eau Claire,WI,166178,"Rate per 100,000 inhabitants",138.4,3.0,22.9,12.0,100.5,1677.7,296.7,1316.1,65.0,229.990352,4.98534,38.054762,19.94136,167.00889,2787.968306,493.05012600000003,2187.0686579999997,108.0157,0.1384,0.003,0.022899999999999997,0.012,0.1005,1.6777,0.2967,1.3160999999999998,0.065
El Centro,CA,180066,"Rate per 100,000 inhabitants",389.3,1.7,20.0,70.0,297.7,2983.4,665.9,1997.6,319.9,700.996938,3.061122,36.0132,126.0462,536.056482,5372.089043999999,1199.0594939999999,3596.9984159999995,576.031134,0.38930000000000003,0.0017,0.019999999999999997,0.06999999999999999,0.29769999999999996,2.9833999999999996,0.6658999999999999,1.9975999999999998,0.31989999999999996
El Paso,TX,843018,"Rate per 100,000 inhabitants",365.4,2.7,45.0,61.8,255.9,1713.1,212.2,1390.0,110.9,3080.387772,22.761486,379.3581,520.985124,2157.283062,14441.741358,1788.884196,11717.9502,934.906962,0.3654,0.0027,0.045,0.06180000000000001,0.2559,1.7131,0.21219999999999997,1.39,0.1109
Elgin,IL,634927,"Rate per 100,000 inhabitants",192.9,2.2,34.3,35.4,121.0,1408.5,195.8,1162.5,50.2,1224.774183,13.968394000000002,217.779961,224.764158,768.26167,8942.946795,1243.1870660000002,7381.026375,318.733354,0.1929,0.0022,0.0343,0.0354,0.121,1.4085,0.1958,1.1625,0.05020000000000001
Elizabethtown-Fort Knox,KY,148206,"Rate per 100,000 inhabitants",122.1,2.0,27.0,35.1,58.0,997.9,273.9,637.6,86.4,180.95952599999998,2.96412,40.01562,52.020306000000005,85.95948,1478.947674,405.936234,944.9614560000001,128.049984,0.12209999999999999,0.002,0.027,0.0351,0.058,0.9979,0.27390000000000003,0.6376000000000001,0.08639999999999999
Elmira,NY,86124,"Rate per 100,000 inhabitants",199.7,3.5,32.5,44.1,119.6,2196.8,313.5,1831.1,52.3,171.989628,3.01434,27.9903,37.980684,103.004304,1891.9720320000001,269.99874,1577.016564,45.042852,0.19970000000000002,0.0034999999999999996,0.0325,0.0441,0.1196,2.1968,0.3135,1.8311000000000002,0.0523
Enid,OK,63828,"Rate per 100,000 inhabitants",365.0,3.1,54.8,42.3,264.8,3478.1,835.1,2491.1,152.0,232.9722,1.978668,34.977744,26.999243999999997,169.016544,2220.001668,533.027628,1590.019308,97.01856,0.36499999999999994,0.0031000000000000003,0.0548,0.0423,0.26480000000000004,3.4781,0.8351000000000001,2.4911,0.152
Erie,PA,276700,"Rate per 100,000 inhabitants",214.7,4.0,36.1,56.7,117.8,1918.0,389.2,1464.4,64.3,594.0749,11.068,99.8887,156.8889,325.9526,5307.106,1076.9164,4051.9948,177.9181,0.2147,0.004,0.0361,0.0567,0.1178,1.918,0.3892,1.4644,0.0643
Eugene,OR,367343,"Rate per 100,000 inhabitants",320.7,1.9,47.6,56.9,214.2,3327.1,545.5,2499.3,282.3,1178.0690009999998,6.9795169999999995,174.855268,209.018167,786.848706,12221.868953,2003.856065,9181.003599000001,1037.009289,0.3207,0.0018999999999999998,0.047599999999999996,0.056900000000000006,0.21419999999999997,3.3270999999999997,0.5455,2.4993000000000003,0.28230000000000005
Evansville,IN,315875,"Rate per 100,000 inhabitants",362.2,3.5,33.9,81.4,243.5,2736.5,499.2,2065.1,172.2,1144.09925,11.055625,107.081625,257.12225,769.155625,8643.919375,1576.848,6523.134625,543.93675,0.36219999999999997,0.0034999999999999996,0.0339,0.0814,0.24350000000000002,2.7364999999999995,0.4992,2.0650999999999997,0.1722
Fairbanks,AK,34657,"Rate per 100,000 inhabitants",669.4,20.2,101.0,92.3,455.9,4377.2,499.2,3482.7,395.3,231.99395800000002,7.000714,35.00357,31.988411,158.001263,1517.006204,173.00774399999997,1206.999339,136.999121,0.6694,0.0202,0.101,0.0923,0.45589999999999997,4.3772,0.4991999999999999,3.4826999999999995,0.3953
Fargo,ND,234910,"Rate per 100,000 inhabitants",270.3,2.1,57.5,38.7,172.0,2472.0,414.6,1846.2,211.1,634.96173,4.93311,135.07325,90.91017,404.0452,5806.9752,973.93686,4336.90842,495.89501,0.2703,0.0021,0.057499999999999996,0.0387,0.17200000000000001,2.472,0.4146,1.8461999999999998,0.2111
Farmington,NM,116108,"Rate per 100,000 inhabitants",947.4,1.7,110.2,58.6,776.9,2733.7,627.9,1867.2,238.6,1100.007192,1.9738360000000001,127.951016,68.039288,902.043052,3174.044396,729.042132,2167.9685759999998,277.033688,0.9474,0.0017,0.11019999999999999,0.058600000000000006,0.7769,2.7337,0.6279000000000001,1.8671999999999997,0.23859999999999998
Fayetteville,NC,378409,"Rate per 100,000 inhabitants",523.8,11.6,32.5,109.7,370.0,3479.8,806.5,2530.9,142.4,1982.1063419999998,43.895444,122.982925,415.11467300000004,1400.1133,13167.876382,3051.868585,9577.153381,538.854416,0.5237999999999999,0.0116,0.0325,0.1097,0.37,3.4798000000000004,0.8065000000000001,2.5309000000000004,0.14240000000000003
Flagstaff,AZ,140312,"Rate per 100,000 inhabitants",364.9,2.1,51.3,30.6,280.8,2991.2,340.7,2575.7,74.8,511.99848799999995,2.946552,71.98005599999999,42.935472000000004,393.996096,4197.012544,478.042984,3614.0161839999996,104.95337599999999,0.36489999999999995,0.0021,0.05129999999999999,0.030600000000000002,0.2808,2.9912,0.3407,2.5757,0.07479999999999999
Flint,MI,407879,"Rate per 100,000 inhabitants",628.1,13.2,73.3,95.9,445.7,2226.9,593.3,1482.5,151.0,2561.887999,53.840028,298.975307,391.155961,1817.9167029999999,9083.057451,2419.9461069999998,6046.806175,615.89729,0.6281,0.013199999999999998,0.07329999999999999,0.0959,0.4457,2.2269,0.5932999999999999,1.4825,0.151
Florence,SC,207007,"Rate per 100,000 inhabitants",640.6,6.8,49.8,107.7,476.3,4267.5,1069.5,2929.9,268.1,1326.086842,14.076475999999998,103.089486,222.94653900000003,985.9743410000001,8834.023725,2213.939865,6065.0980930000005,554.985767,0.6406,0.006799999999999999,0.0498,0.1077,0.47630000000000006,4.2675,1.0695,2.9299000000000004,0.2681
Florence-Muscle Shoals,AL,146537,"Rate per 100,000 inhabitants",292.8,2.7,28.7,49.1,212.2,2188.5,438.1,1557.3,193.1,429.060336,3.9564990000000004,42.056118999999995,71.949667,310.951514,3206.962245,641.978597,2282.020701,282.962947,0.2928,0.0027,0.0287,0.0491,0.21219999999999997,2.1885000000000003,0.43810000000000004,1.5573,0.1931
Fond du Lac,WI,101860,"Rate per 100,000 inhabitants",180.6,1.0,51.1,12.8,115.8,1351.9,146.3,1158.5,47.1,183.95916,1.0186,52.05046,13.03808,117.95388,1377.04534,149.02118000000002,1180.0481,47.97606,0.18059999999999998,0.001,0.051100000000000007,0.012799999999999999,0.1158,1.3518999999999999,0.1463,1.1585,0.047099999999999996
Fort Collins,CO,340447,"Rate per 100,000 inhabitants",209.1,2.6,30.3,20.9,155.4,2210.0,267.0,1829.7,113.4,711.874677,8.851622,103.155441,71.153423,529.0546380000001,7523.8787,908.99349,6229.158759,386.06689800000004,0.2091,0.0026000000000000003,0.0303,0.020900000000000002,0.15540000000000004,2.21,0.267,1.8297,0.1134
Fort Lauderdale-Pompano Beach-Deerfield Beach,FL,1930253,"Rate per 100,000 inhabitants",391.1,4.2,29.0,140.7,217.3,3049.9,456.6,2302.1,291.3,7549.219483000001,81.070626,559.77337,2715.8659709999997,4194.4397690000005,58870.786247,8813.535198000001,44436.354313,5622.826989,0.39110000000000006,0.004200000000000001,0.029,0.1407,0.21730000000000005,3.0499,0.45660000000000006,2.3021000000000003,0.2913
Fort Smith,AR,279567,"Rate per 100,000 inhabitants",497.6,5.0,68.7,41.9,382.0,3443.9,770.8,2446.6,226.4,1391.1253920000001,13.97835,192.062529,117.138573,1067.94594,9628.007913000001,2154.902436,6839.886221999999,632.939688,0.49760000000000004,0.005,0.0687,0.0419,0.382,3.4439000000000006,0.7707999999999999,2.4465999999999997,0.2264
Fort Wayne,IN,431558,"Rate per 100,000 inhabitants",298.5,11.4,29.9,104.3,152.9,2577.2,494.7,1962.2,120.3,1288.20063,49.197612,129.035842,450.11499399999997,659.8521820000001,11122.112776,2134.917426,8468.031076000001,519.164274,0.29850000000000004,0.011399999999999999,0.0299,0.10429999999999999,0.1529,2.5772,0.49470000000000003,1.9622000000000004,0.12029999999999999
Fort Worth-Arlington,TX,2428740,"Rate per 100,000 inhabitants",365.6,4.9,50.8,90.6,219.3,2586.9,467.5,1910.3,209.1,8879.47344,119.00826,1233.79992,2200.43844,5326.22682,62829.07506,11354.3595,46396.22022,5078.49534,0.3656,0.004900000000000001,0.0508,0.0906,0.2193,2.5869,0.4675,1.9103,0.2091
Fresno,CA,976874,"Rate per 100,000 inhabitants",612.5,6.4,32.1,144.7,429.1,3263.0,704.6,2027.5,530.9,5983.35325,62.51993600000001,313.57655400000004,1413.5366779999997,4191.766334,31875.39862,6883.054204,19806.12035,5186.224066,0.6125,0.006400000000000001,0.032100000000000004,0.14469999999999997,0.4291,3.263,0.7046,2.0275000000000003,0.5308999999999999
Gadsden,AL,102537,"Rate per 100,000 inhabitants",711.9,5.9,61.4,76.1,568.6,3610.4,692.4,2556.2,361.8,729.9609029999999,6.049683000000001,62.957718,78.03065699999999,583.025382,3701.995848,709.966188,2621.0507939999998,370.97886600000004,0.7119,0.005900000000000001,0.061399999999999996,0.0761,0.5686,3.6104,0.6923999999999999,2.5561999999999996,0.36180000000000007
Gainesville,FL,280301,"Rate per 100,000 inhabitants",539.8,1.8,78.8,99.9,359.3,2878.3,470.9,2208.7,198.7,1513.0647979999999,5.045418,220.87718800000002,280.02069900000004,1007.121493,8067.9036830000005,1319.937409,6191.008186999999,556.958087,0.5398,0.0018,0.07880000000000001,0.09990000000000002,0.3593,2.8783000000000003,0.4709,2.2087,0.19870000000000002
Gainesville,GA,196154,"Rate per 100,000 inhabitants",261.0,4.1,19.9,61.7,175.4,2562.3,390.5,1973.4,198.3,511.96194,8.042314,39.034645999999995,121.02701800000001,344.054116,5026.0539420000005,765.98137,3870.903036,388.973382,0.261,0.0040999999999999995,0.019899999999999998,0.061700000000000005,0.1754,2.5623000000000005,0.3905,1.9734000000000003,0.1983
Gary,IN,700547,"Rate per 100,000 inhabitants",272.4,10.6,22.3,93.9,145.6,2557.7,419.7,1917.4,220.7,1908.290028,74.257982,156.221981,657.8136330000001,1019.996432,17917.890618999998,2940.1957589999997,13432.288177999999,1546.107229,0.2724,0.0106,0.0223,0.09390000000000001,0.1456,2.5576999999999996,0.41969999999999996,1.9174,0.22069999999999998
Gettysburg,PA,102165,"Rate per 100,000 inhabitants",162.5,2.0,41.1,10.8,108.6,799.7,151.7,622.5,25.4,166.018125,2.0433,41.989815,11.03382,110.95119,817.013505,154.98430499999998,635.977125,25.94991,0.1625,0.002,0.041100000000000005,0.0108,0.10859999999999999,0.7997000000000001,0.15169999999999997,0.6224999999999999,0.0254
Glens Falls,NY,125674,"Rate per 100,000 inhabitants",164.7,1.6,72.4,11.1,79.6,1245.3,180.6,1047.9,16.7,206.98507799999996,2.010784,90.98797600000002,13.949814,100.03650399999998,1565.018322,226.967244,1316.937846,20.987557999999996,0.16469999999999996,0.0016000000000000003,0.07240000000000002,0.0111,0.07959999999999998,1.2452999999999999,0.18059999999999998,1.0479,0.016699999999999996
Goldsboro,NC,124396,"Rate per 100,000 inhabitants",438.9,8.8,6.4,97.3,326.4,3126.3,988.0,1953.4,184.9,545.9740439999999,10.946848000000001,7.961344,121.037308,406.028544,3888.9921480000003,1229.03248,2429.951464,230.00820400000003,0.43889999999999996,0.0088,0.0063999999999999994,0.0973,0.3264,3.1263,0.988,1.9534000000000002,0.18490000000000004
Grand Forks,ND,101537,"Rate per 100,000 inhabitants",240.3,1.0,59.1,26.6,153.6,2511.4,459.9,1883.1,168.4,243.993411,1.01537,60.008367,27.008842,155.96083199999998,2550.000218,466.968663,1912.0432469999998,170.98830800000002,0.2403,0.001,0.05909999999999999,0.026600000000000002,0.1536,2.5114,0.4599,1.8830999999999998,0.16840000000000002
Grand Island,NE,85552,"Rate per 100,000 inhabitants",286.4,1.2,50.3,24.5,210.4,2306.2,374.0,1784.9,147.3,245.02092799999997,1.026624,43.032655999999996,20.96024,180.001408,1973.0002239999997,319.96448,1527.017648,126.01809600000001,0.2864,0.0012000000000000001,0.0503,0.0245,0.2104,2.3061999999999996,0.374,1.7849,0.14730000000000001
Grand Junction,CO,148848,"Rate per 100,000 inhabitants",348.7,6.0,80.6,30.9,231.1,3072.3,443.4,2450.2,178.7,519.032976,8.93088,119.971488,45.994032000000004,343.98772799999995,4573.057104,659.992032,3647.0736959999995,265.991376,0.34869999999999995,0.006,0.08059999999999999,0.030900000000000004,0.23109999999999997,3.0723000000000003,0.44339999999999996,2.4501999999999997,0.1787
Grand Rapids-Wyoming,MI,1048249,"Rate per 100,000 inhabitants",337.1,2.1,78.8,50.6,205.7,1615.9,280.3,1245.2,90.4,3533.6473790000005,22.013229,826.020212,530.413994,2156.248193,16938.655591000002,2938.241947,13052.796548,947.6170960000001,0.3371,0.0021,0.0788,0.050600000000000006,0.2057,1.6159000000000003,0.2803,1.2451999999999999,0.09040000000000001
Grants Pass,OR,85644,"Rate per 100,000 inhabitants",221.8,2.3,25.7,40.9,153.0,2822.1,449.5,1969.8,402.8,189.958392,1.969812,22.010507999999998,35.028396,131.03532,2416.959324,384.96978,1687.015512,344.974032,0.2218,0.0023,0.025699999999999997,0.0409,0.15300000000000002,2.8221,0.4495,1.9698,0.40280000000000005
Great Falls,MT,82482,"Rate per 100,000 inhabitants",229.1,4.8,29.1,19.4,175.8,3817.8,493.4,3040.7,283.7,188.966262,3.959136,24.002262,16.001507999999998,145.00335600000003,3148.997796,406.966188,2508.030174,234.001434,0.2291,0.0048000000000000004,0.0291,0.019399999999999997,0.1758,3.8178000000000005,0.4934,3.0407,0.28369999999999995
Greeley,CO,291675,"Rate per 100,000 inhabitants",257.8,1.4,42.5,26.1,187.9,2021.1,344.6,1453.7,222.9,751.93815,4.08345,123.961875,76.127175,548.057325,5895.043425,1005.11205,4240.079475,650.143575,0.2578,0.0014,0.0425,0.0261,0.1879,2.0211,0.34459999999999996,1.4536999999999998,0.22290000000000001
Green Bay,WI,318010,"Rate per 100,000 inhabitants",214.1,2.5,37.4,25.5,148.7,1452.2,243.1,1146.2,62.9,680.85941,7.95025,118.93574,81.09255,472.88087,4618.14122,773.08231,3645.03062,200.02829,0.2141,0.0024999999999999996,0.037399999999999996,0.025500000000000002,0.1487,1.4522000000000002,0.2431,1.1461999999999999,0.0629
Hagerstown-Martinsburg,MD,261805,"Rate per 100,000 inhabitants",248.3,2.7,23.3,73.7,148.6,2122.2,515.7,1478.6,128.0,650.061815,7.068735,61.000565,192.950285,389.04223,5556.02571,1350.128385,3871.04873,335.1104,0.2483,0.0027,0.0233,0.0737,0.1486,2.1222000000000003,0.5157,1.4786000000000001,0.128
Hammond,LA,129819,"Rate per 100,000 inhabitants",915.9,13.1,56.2,152.5,694.0,4340.7,1289.5,2763.8,287.3,1189.012221,17.006289,72.958278,197.973975,900.94386,5635.053333,1674.016005,3587.9375220000006,372.969987,0.9159,0.013099999999999999,0.056200000000000014,0.1525,0.694,4.3407,1.2895,2.7638000000000007,0.2873
Hanford-Corcoran,CA,149661,"Rate per 100,000 inhabitants",427.0,7.3,48.1,53.5,318.1,2116.1,467.1,1290.2,358.8,639.05247,10.925253,71.986941,80.068635,476.071641,3166.976421,699.066531,1930.9262220000003,536.9836680000001,0.42699999999999994,0.0073,0.048100000000000004,0.0535,0.3181,2.1161,0.46710000000000007,1.2902000000000002,0.35880000000000006
